Date,Campaign ID,Daily budget
2022-01-16,13273184588,6800
2022-01-16,13273184594,15563.45
2022-01-16,13273184600,6000.42
2022-01-16,13273184603,6600.09
2022-01-16,15640225612,22500
2022-01-16,15866455614,6500
2022-01-16,15867131169,22500
2022-01-16,15870568792,15563.45
2022-01-16,15870594223,55500
2022-01-16,15870755947,45000.32
2022-01-16,15870972898,18500
2022-01-16,15874449302,1000
2022-01-16,15876564437,6800
2022-01-16,15880104136,1170.84
2022-01-16,15884121065,290212
2022-01-16,15884377406,6000.42
2022-01-16,15884502197,1300.52
2022-01-16,15885198386,1100.92
2022-01-17,1822059265,290212
2022-01-17,8789177912,1300.52
2022-01-17,8789177918,2500.03
2022-01-17,8789177930,8400.77
2022-01-17,8789177936,45000.32
2022-01-17,8789177942,1250.72
2022-01-17,8789177948,6500
2022-01-17,8789177954,1000
2022-01-17,8789177969,18500
2022-01-17,10081407552,2800.06
2022-01-17,10712348821,3270.62
2022-01-17,10712348824,12500
2022-01-17,10712348827,2200
2022-01-17,10712348830,1540.45
2022-01-17,10712348842,3250.98
2022-01-17,10712348845,1000
2022-01-17,10712348848,1000
2022-01-17,10712348866,1000
2022-01-17,10712348869,1170.84
2022-01-17,10712348872,1000
2022-01-17,10712348875,1000
2022-01-17,10712348878,1100.92
2022-01-17,10712349001,55500
2022-01-17,10712349004,1000
2022-01-17,11866806387,2500.61
2022-01-17,13273184588,6800
2022-01-17,13273184594,15563.45
2022-01-17,13273184600,6000.42
2022-01-17,13273184603,6600.09
2022-01-17,15640225612,22500
2022-01-17,15866455614,6500
2022-01-17,15867131169,22500
2022-01-17,15870568792,15563.45
2022-01-17,15870594223,55500
2022-01-17,15870755947,45000.32
2022-01-17,15870972898,18500
2022-01-17,15874449302,1000
2022-01-17,15876564437,6800
2022-01-17,15880104136,1170.84
2022-01-17,15884121065,290212
2022-01-17,15884377406,6000.42
2022-01-17,15884502197,1300.52
2022-01-17,15885198386,1100.92
2022-01-18,1822059265,290212
2022-01-18,8789177912,1300.52
2022-01-18,8789177918,2500.03
2022-01-18,8789177930,8400.77
2022-01-18,8789177936,45000.32
2022-01-18,8789177942,1250.72
2022-01-18,8789177948,6500
2022-01-18,8789177954,1000
2022-01-18,8789177969,18500
2022-01-18,10081407552,2800.06
2022-01-18,10712348821,3270.62
2022-01-18,10712348824,12500
2022-01-18,10712348827,2200
2022-01-18,10712348830,1540.45
2022-01-18,10712348842,3250.98
2022-01-18,10712348845,1000
2022-01-18,10712348848,1000
2022-01-18,10712348866,1000
2022-01-18,10712348869,1170.84
2022-01-18,10712348872,1000
2022-01-18,10712348875,1000
2022-01-18,10712348878,1100.92
2022-01-18,10712349001,55500
2022-01-18,10712349004,1000
2022-01-18,11866806387,2500.61
2022-01-18,13273184588,6800
2022-01-18,13273184594,15563.45
2022-01-18,13273184600,6000.42
2022-01-18,13273184603,6600.09
2022-01-18,15640225612,22500
2022-01-18,15866455614,6500
2022-01-18,15867131169,22500
2022-01-18,15870568792,15563.45
2022-01-18,15870594223,55500
2022-01-18,15870755947,45000.32
2022-01-18,15870972898,18500
2022-01-18,15874449302,1000
2022-01-18,15876564437,6800
2022-01-18,15880104136,1170.84
2022-01-18,15884121065,290212
2022-01-18,15884377406,6000.42
2022-01-18,15884502197,1300.52
2022-01-18,15885198386,1100.92
2022-01-19,1822059265,290212
2022-01-19,8789177912,1300.52
2022-01-19,8789177918,2500.03
2022-01-19,8789177930,8400.77
2022-01-19,8789177936,45000.32
2022-01-19,8789177942,1250.72
2022-01-19,8789177948,6500
2022-01-19,8789177954,1000
2022-01-19,8789177969,18500
2022-01-19,10081407552,2800.06
2022-01-19,10712348821,3270.62
2022-01-19,10712348824,12500
2022-01-19,10712348827,2200
2022-01-19,10712348830,1540.45
2022-01-19,10712348842,3250.98
2022-01-19,10712348845,1000
2022-01-19,10712348848,1000
2022-01-19,10712348866,1000
2022-01-19,10712348869,1170.84
2022-01-19,10712348872,1000
2022-01-19,10712348875,1000
2022-01-19,10712348878,1100.92
2022-01-19,10712349001,55500
2022-01-19,10712349004,1000
2022-01-19,11866806387,2500.61
2022-01-19,13273184588,6800
2022-01-19,13273184594,15563.45
2022-01-19,13273184600,6000.42
2022-01-19,13273184603,6600.09
2022-01-19,15640225612,22500
2022-01-19,15866455614,6500
2022-01-19,15867131169,22500
2022-01-19,15870568792,15563.45
2022-01-19,15870594223,55500
2022-01-19,15870755947,45000.32
2022-01-19,15870972898,18500
2022-01-19,15874449302,1000
2022-01-19,15876564437,6800
2022-01-19,15880104136,1170.84
2022-01-19,15884121065,290212
2022-01-19,15884377406,6000.42
2022-01-19,15884502197,1300.52
2022-01-19,15885198386,1100.92
2022-01-20,1822059265,290212
2022-01-20,8789177912,1300.52
2022-01-20,8789177918,2500.03
2022-01-20,8789177930,8400.77
2022-01-20,8789177936,45000.32
2022-01-20,8789177942,1250.72
2022-01-20,8789177948,6500
2022-01-20,8789177954,1000
2022-01-20,8789177969,18500
2022-01-20,10081407552,2800.06
2022-01-20,10712348821,3270.62
2022-01-20,10712348824,12500
2022-01-20,10712348827,2200
2022-01-20,10712348830,1540.45
2022-01-20,10712348842,3250.98
2022-01-20,10712348845,1000
2022-01-20,10712348848,1000
2022-01-20,10712348866,1000
2022-01-20,10712348869,1170.84
2022-01-20,10712348875,1000
2022-01-20,10712348878,1100.92
2022-01-20,10712349001,55500
2022-01-20,10712349004,1000
2022-01-20,11866806387,2500.61
2022-01-20,13273184588,6800
2022-01-20,13273184594,15563.45
2022-01-20,13273184600,6000.42
2022-01-20,13273184603,6600.09
2022-01-20,15074228116,1000
2022-01-20,15640225612,22500
2022-01-20,15866455614,6500
2022-01-20,15867131169,22500
